Algorithm,test_rmse,fit_time,test_time
SVD,1.0190722722066043,2.1303957303365073,0.10628294944763184
BaselineOnly,1.0207106868571254,0.1604276498158773,0.13326414426167807
KNNBaseline,1.021145725686093,10.92411986986796,0.18150973320007324
KNNBasic,1.0663243866614929,9.930530230204264,0.13866655031840006
NMF,1.1258884345146845,5.2322531541188555,0.09473594029744466
NormalPredictor,1.4592384763390884,0.05340329806009928,0.11660234133402507
